"1531.25/1.0","1687.5/0.22628221651742456","4625.0/0.20701526701932896","2781.25/0.12503647726859346"
"1531.25/1.0","","",""
"1531.25/1.0","","",""
"1531.25/1.0","","",""
"1531.25/1.0","1187.5/0.11784775706998804","",""
"1531.25/1.0","1187.5/0.1469255941575084","",""
"1531.25/1.0","1187.5/0.18352613571365942","",""
"1531.25/1.0","1187.5/0.2227734475047376","",""
"1531.25/1.0","1187.5/0.2740269074681177","",""
