"3781.25/1.0","1375.0/0.8460762620459241","3656.25/0.1627309468637045","6531.25/0.14980080223275014"
"3781.25/1.0","1375.0/0.8075931923387878","6531.25/0.17353933360184795","3656.25/0.12732902019484207"
"1375.0/1.0","3781.25/0.5477113241360511","6500.0/0.18227584718100517","3656.25/0.10836174751854466"
