"5000.0/1.0","1437.5/0.984814381979339","718.75/0.4750267778078154"
"5000.0/1.0","1437.5/0.6860251318177549","718.75/0.23822613814817492"
"5000.0/1.0","1437.5/0.7575818766727275","718.75/0.4399964430380049"
"1437.5/1.0","5000.0/0.7391251027227332","718.75/0.20902561709662087"
"1437.5/1.0","5000.0/0.987502681628654","718.75/0.41161251042523794"
"1437.5/1.0","5031.25/0.5721515547126543","718.75/0.3649443558373399"
"1437.5/1.0","5000.0/0.4478848358345048","718.75/0.1391857298826152"
"1437.5/1.0","5000.0/0.3851644855098584","718.75/0.2076635527324593"
