"750.0/1.0","2031.25/0.31423711083114947","2250.0/0.1401885870929381"
"750.0/1.0","2250.0/0.1676369383005849",""
"593.75/1.0","1562.5/0.31306680426977185","750.0/0.29733556978834014"
"593.75/1.0","750.0/0.23363408062656035",""
"593.75/1.0","750.0/0.291648380724918",""
"593.75/1.0","750.0/0.3077008820571407",""
"593.75/1.0","750.0/0.2405960414516902",""
