"718.75/1.0","3906.25/0.6605206073725288","3812.5/0.251824878745657",""
"718.75/1.0","","",""
"718.75/1.0","625.0/0.9796270866796742","3281.25/0.1985390057512893","5781.25/0.14501692271423838"
