"3750.0/0.3014924425842237","3625.0/0.26012991361118254","",""
"1375.0/1.0","2968.75/0.6459497103483519","687.5/0.1785046486885052",""
"1375.0/1.0","2968.75/0.4631857097797347","2875.0/0.23753194964550534","687.5/0.11861792751508282"
"1375.0/1.0","2968.75/0.3876957912789557","687.5/0.22138108416289798","2875.0/0.19294062817049984"
"1375.0/1.0","2968.75/0.31441115386448487","687.5/0.16987310157935967","2875.0/0.1497027923962632"
"1375.0/1.0","687.5/0.27108092115080307","2968.75/0.2333796258643729","2875.0/0.12036830609661274"
"1375.0/1.0","3000.0/0.2734776507928863","687.5/0.17351442250319268",""
